Order Number;Supplier Number;Supplier;Product Article Number;Ordered Product;Ordered Product - Supplement;Original Ordered Quantity;Original Desired Date;Planned Delivery Date;Ordered Quantity;Arrival Date;Delivered Quantity
8111856;70963;44912750;422907500025700;Kabelverschraubung [CODE],[NUM];Ms vernickelt, mit O-Ring HNBR;34.0;2023-06-05;2023-06-05;34.0;2023-06-07T00:00:00.000;34.0
8111856;70963;44912750;422907500017000;Verschraubungskörper [CODE],[NUM];"Gew.=6mm; [CODE]; m. O-Ring Ms vernickelt";86.0;2023-06-05;2023-06-05;86.0;2023-06-07T00:00:00.000;86.0
8111857;70849;33626981;405020000067001;874SW-ZA-134053V11;Solarcheck Mobilcenter KOMPAKT P [NUM] , [NUM];1.0;2023-04-17;2023-04-17;1.0;2023-06-08T00:00:00.000;1.0
8111858;71091;45773385;422306100000300;Scotchcast;Twist-n-Mix Resign Delivery System;10.0;2023-04-24;2023-04-24;10.0;2023-05-04T00:00:00.000;10.0
8111859;70648;36668692;420500530175400;Glasseidenband [NUM],1x30;Typ: [NUM]    100M=Rolle;5000.0;2023-07-31;2023-07-31;5000.0;2023-08-18T00:00:00.000;4000.0
8111860;70767;83576621;405020000062001;Druckluftwerkzeug;EXTOOL-[NUM]-[NUM];1.0;2023-05-08;2023-05-08;1.0;2023-05-08T00:00:00.000;1.0
8111860;70767;83576621;405020000062001;Zubehör Pos. [NUM];[NUM];1.0;2023-05-08;2023-05-08;1.0;2023-05-08T00:00:00.000;1.0
8111860;70767;83576621;405020000067001;Druckluftwerkzeug;[CODE]-[NUM];2.0;2023-05-08;2023-05-08;2.0;2023-05-08T00:00:00.000;2.0
8111860;70767;83576621;405020000067001;Zubehör Pos.[NUM];[CODE]-[NUM] VERSCHLUß [CODE]/[NUM];2.0;2023-05-24;2023-05-24;2.0;2023-05-24T00:00:00.000;2.0
8111860;70767;83576621;405020000067001;Zubehör Pos.[NUM];[CODE]-[NUM];2.0;2023-05-24;2023-05-24;2.0;2023-05-24T00:00:00.000;2.0
8111860;70767;83576621;;"";"";;;2023-05-01;0.0;2023-05-24T00:00:00.000;0.0
8111861;70970;52391922;422807301220600;Abteilungstrennplatte ATP-UK;für UK [NUM],[NUM], UK [NUM],[NUM], UK [NUM], UK [NUM], UK [NUM], UK;50.0;2023-05-15;2023-05-15;50.0;2023-05-12T00:00:00.000;50.0
8111862;71183;70839178;424703311001300;Aderleitung Radox 3GKW;"[NUM] mm²; [NUM],[NUM]/1kV; GY; grau";120.0;2023-07-03;2023-07-03;120.0;2023-06-29T00:00:00.000;120.0
8111862;71183;70839178;424703311003300;Bahnkabel Radox TENUIS-[PART] [NUM]/1000V;2x0,5mm² ungeschirmt sw Da=[NUM],[NUM]±[NUM],[NUM];200.0;2023-07-03;2023-07-03;200.0;2023-06-29T00:00:00.000;200.0
8111863;70115;20920640;426102330000701;Bolzen [CODE];Gewindestange [CODE];0.0;2023-05-22;2023-05-22;0.0;;
8111863;70115;20920640;426102330000814;Bolzen [CODE];Gewindestange [CODE];102.0;2023-07-24;2023-07-24;102.0;2023-05-24T00:00:00.000;102.0
8111863;70115;20920640;426100230240604;Bolzen [CODE];Gewindestange [CODE];103.0;2023-05-22;2023-05-22;103.0;2023-07-07T00:00:00.000;103.0
8111863;70115;20920640;;"";"";160.0;2023-05-22;2023-05-22;0.0;;
8111863;70115;20920640;426102330000702;Bolzen [CODE];Gewindestange [CODE];148.0;2023-07-17;2023-07-17;148.0;2023-05-24T00:00:00.000;148.0
8111863;70115;20920640;424902330000283;Bolzen [CODE];Gewindestange [CODE];132.0;2023-07-17;2023-07-17;132.0;2023-05-24T00:00:00.000;132.0
8111864;70787;89096955;425300076083600;Bodenplatte;Bl [NUM],[NUM] -ISO [NUM]-[NUM] (EN [NUM]);1.0;2023-07-17;2023-07-17;1.0;2023-07-21T00:00:00.000;1.0
8111864;70787;89096955;425300028004501;Luftaustritt;"St: [NUM] [NUM] [CODE] ; Z: [NUM] [NUM]-[NUM] Rev.[NUM]";1.0;2023-07-17;2023-07-17;1.0;2023-07-21T00:00:00.000;1.0
8111864;70787;89096955;425300076082500;Fusswinkel;Bl [NUM],[NUM] -ISO [NUM] (DIN [NUM]) -[NUM].[NUM];2.0;2023-07-17;2023-07-17;2.0;2023-07-21T00:00:00.000;2.0
8111864;70787;89096955;425300076084300;Versteifung;Bl [NUM],[NUM] -ISO [NUM]-[NUM] (EN [NUM]);2.0;2023-07-17;2023-07-17;2.0;2023-07-21T00:00:00.000;2.0
8111864;70787;89096955;425300076083200;Luftleitblech;Bl [NUM],[NUM] -ISO [NUM]-[NUM] (EN [NUM]);1.0;2023-07-17;2023-07-17;1.0;2023-07-21T00:00:00.000;1.0
8111864;70787;89096955;425300072073801;Abdeckung 3x160x400;Bl [NUM],[NUM] -ISO [NUM]-[NUM] (EN [NUM]);2.0;2023-07-17;2023-07-17;2.0;2023-07-21T00:00:00.000;2.0
8111864;70787;89096955;425300072073802;Abdeckung 3x160x540;Bl [NUM],[NUM] -ISO [NUM]-[NUM] (EN [NUM]);1.0;2023-07-17;2023-07-17;1.0;2023-07-21T00:00:00.000;1.0
8111864;70787;89096955;425300072074602;Dehnplatte 15x80x80;Bl [NUM],[NUM] -ISO [NUM] (DIN [NUM]) -[NUM].[NUM];4.0;2023-07-17;2023-07-17;4.0;2023-07-21T00:00:00.000;4.0
8111864;70787;89096955;425300072074601;Dehnplatte 15x90x90;Bl [NUM],[NUM] -ISO [NUM] (DIN [NUM]) -[NUM].[NUM];4.0;2023-07-17;2023-07-17;4.0;2023-07-21T00:00:00.000;4.0
8111864;70787;89096955;425300072073900;Stirnabdeckung 5x584x622;Bl [NUM],[NUM] -ISO [NUM]-[NUM] (EN [NUM]);1.0;2023-07-17;2023-07-17;1.0;2023-07-21T00:00:00.000;1.0
8111864;70787;89096955;425300076083400;Presseisen;Bl [NUM],[NUM] -ISO [NUM] (DIN [NUM]) -[NUM].[NUM];2.0;2023-07-17;2023-07-17;2.0;2023-07-21T00:00:00.000;2.0
8111864;70787;89096955;425300076083500;Deckplatte;Bl [NUM],[NUM] -DIN EN [NUM]-[CODE] ([NUM].[NUM]);1.0;2023-07-17;2023-07-17;1.0;2023-07-21T00:00:00.000;1.0
8111864;70787;89096955;425300076082701;Seitenwand;Bl [NUM],[NUM] -ISO [NUM]-[NUM] (EN [NUM]);1.0;2023-07-17;2023-07-17;1.0;2023-07-21T00:00:00.000;1.0
8111864;70787;89096955;425300076082702;Seitenwand;Bl [NUM],[NUM] -ISO [NUM]-[NUM] (EN [NUM]);1.0;2023-07-17;2023-07-17;1.0;2023-07-21T00:00:00.000;1.0
8111864;70787;89096955;425300076082900;Lüfterhalterung 3x584x632;Bl [NUM],[NUM] -ISO [NUM]-[NUM] (EN [NUM]);1.0;2023-07-17;2023-07-17;1.0;2023-07-21T00:00:00.000;1.0
8111864;70787;89096955;425300076083100;Lüftergitter;Bl [NUM],[NUM] -ISO [NUM]-[NUM] (EN [NUM]);1.0;2023-07-17;2023-07-17;1.0;2023-07-21T00:00:00.000;1.0
8111864;70787;89096955;425300076083000;Lüfterträger;Bl [NUM],[NUM] -ISO [NUM]-[NUM] (EN [NUM]);1.0;2023-07-17;2023-07-17;1.0;2023-07-21T00:00:00.000;1.0
8111864;70787;89096955;;"";"";;;3333-07-13;0.0;2023-07-21T00:00:00.000;0.0
8111865;72186;1599922;420210021046700;Mantel-Drosselkern;EN [NUM] [CODE]-50A;1.0;2023-07-17;2023-07-17;1.0;2023-07-31T00:00:00.000;1.0
8111866;70041;79078827;423800086021801;Anschlusswinkel;Bl [NUM],[NUM] -DIN EN [NUM]-Cu-ETP-[CODE];1.0;2023-07-14;2023-07-14;1.0;2023-07-25T00:00:00.000;1.0
8111866;70041;79078827;423800086021802;Anschlusswinkel;Bl [NUM],[NUM] -DIN EN [NUM]-Cu-ETP-[CODE];1.0;2023-07-14;2023-07-14;1.0;2023-07-25T00:00:00.000;1.0
8111866;70041;79078827;423800086021700;Anschlusswinkel;Bl [NUM],[NUM] -DIN EN [NUM]-Cu-ETP-[CODE];2.0;2023-07-14;2023-07-14;2.0;2023-07-25T00:00:00.000;2.0
8111867;70722;42986849;423400092233600;Frontplatte 15x438x700;Tfl [NUM],[NUM] (weiss) [CODE];2.0;2023-06-05;2023-06-05;2.0;2023-06-06T00:00:00.000;2.0
8111867;70722;42986849;423400092233501;Deckplatte 10x521x700;Tfl [NUM],[NUM] (weiss) [CODE];1.0;2023-06-05;2023-06-05;1.0;2023-06-02T00:00:00.000;1.0
8111867;70722;42986849;423400092233502;Deckplatte 10x521x700;Tfl [NUM],[NUM] (weiss) [CODE];1.0;2023-06-05;2023-06-05;1.0;2023-06-02T00:00:00.000;1.0
8111867;70722;42986849;423400092233701;Kernkastenplatte 10x122x521;Tfl [NUM],[NUM] (weiss) [CODE];2.0;2023-06-05;2023-06-05;2.0;2023-06-06T00:00:00.000;2.0
8111867;70722;42986849;423400092233702;Kernkastenplatte 10x320x521;Tfl [NUM],[NUM] (weiss) [CODE];2.0;2023-06-05;2023-06-05;2.0;2023-06-06T00:00:00.000;2.0
8111867;70722;42986849;493400092233401;Beilage 30x10x620;Rechteckprofil-Flat 30x10;52.0;2023-06-05;2023-06-05;52.0;2023-06-02T00:00:00.000;52.0
